/usr/local/bin/python3.7 /Users/firstmac/Desktop/ziw35_a2/src/Filtering.py
Day 1: rain 0.11111111111111112, sunny 0.8888888888888888
Day 2: rain 0.7027707808564232, sunny 0.2972292191435768
Day 3: rain 0.8619286811407697, sunny 0.1380713188592303
Day 4: rain 0.8909237845703, sunny 0.10907621542970003
Day 5: rain 0.8957840704256457, sunny 0.10421592957435433
Day 6: rain 0.19408949077585946, sunny 0.8059105092241405
Day 7: rain 0.07049982484797078, sunny 0.9295001751520292
Day 8: rain 0.6873457687310264, sunny 0.3126542312689736
Day 9: rain 0.8588905688335682, sunny 0.14110943116643182
Day 10: rain 0.18413065370357032, sunny 0.8158693462964297
Day 11: rain 0.7285933029500906, sunny 0.2714066970499094
Day 12: rain 0.8669190217163623, sunny 0.13308097828363774
Day 13: rain 0.8917689008427112, sunny 0.10823109915728879
Day 14: rain 0.8959239383081342, sunny 0.10407606169186578
Day 15: rain 0.8966101457793022, sunny 0.1033898542206978
Day 16: rain 0.8967232410548722, sunny 0.10327675894512778
Day 17: rain 0.8967418742113836, sunny 0.10325812578861637
Day 18: rain 0.8967449439695928, sunny 0.10325505603040719
Day 19: rain 0.19435697562729248, sunny 0.8056430243727075
Day 20: rain 0.7320282190744946, sunny 0.26797178092550544
Day 21: rain 0.8675739948435098, sunny 0.13242600515649017
Day 22: rain 0.8918795522852677, sunny 0.10812044771473228
Day 23: rain 0.8959422438424899, sunny 0.10405775615751012
Day 24: rain 0.1941334933958637, sunny 0.8058665066041363
Day 25: rain 0.7319536064571838, sunny 0.26804639354281623
Day 26: rain 0.15394801694367077, sunny 0.8460519830563292
Day 27: rain 0.06611497651651783, sunny 0.9338850234834821
Day 28: rain 0.6856313450450878, sunny 0.3143686549549122
Day 29: rain 0.8585502037544761, sunny 0.1414497962455239
Day 30: rain 0.184041517164975, sunny 0.815958482835025
Day 31: rain 0.06938506030767673, sunny 0.9306149396923232
Day 32: rain 0.05744304293531806, sunny 0.9425569570646819
Day 33: rain 0.6822116295537425, sunny 0.3177883704462575
Day 34: rain 0.143587042941709, sunny 0.856412957058291
Day 35: rain 0.7145451165056564, sunny 0.28545488349434356
Day 36: rain 0.1502377354379793, sunny 0.8497622645620206
Day 37: rain 0.7168979287292304, sunny 0.2831020712707696
Day 38: rain 0.15073376113692327, sunny 0.8492662388630767
Day 39: rain 0.06577164860544012, sunny 0.9342283513945598
Day 40: rain 0.0570884934872433, sunny 0.9429115065127567
Day 41: rain 0.6820709859615479, sunny 0.3179290140384521
Day 42: rain 0.8578416274403936, sunny 0.1421583725596064
Day 43: rain 0.18385610739982805, sunny 0.816143892600172
Day 44: rain 0.7285004981292051, sunny 0.27149950187079486
Day 45: rain 0.8669012971341652, sunny 0.1330987028658348
Day 46: rain 0.18624267000774927, sunny 0.8137573299922507
Day 47: rain 0.7293061950216205, sunny 0.27069380497837947
Day 48: rain 0.8670551253471389, sunny 0.1329448746528611
Day 49: rain 0.8917918993662634, sunny 0.10820810063373665
Day 50: rain 0.19298269229041884, sunny 0.8070173077095811
Day 51: rain 0.07037645838520018, sunny 0.9296235416147998
Day 52: rain 0.057540539250675274, sunny 0.9424594607493247
Day 53: rain 0.6822502931562051, sunny 0.3177497068437949
Day 54: rain 0.8578773690472241, sunny 0.14212263095277589
Day 55: rain 0.8902350217770314, sunny 0.1097649782229686
Day 56: rain 0.8956700049939218, sunny 0.1043299950060782
Day 57: rain 0.8965682778310944, sunny 0.10343172216890562
Day 58: rain 0.19430776402382924, sunny 0.8056922359761708
Day 59: rain 0.7320117908300146, sunny 0.26798820916998545
Day 60: rain 0.8675708671657206, sunny 0.13242913283427937
Day 61: rain 0.1864204373128083, sunny 0.8135795626871917
Day 62: rain 0.729366115539091, sunny 0.27063388446090897
Day 63: rain 0.15339061121004394, sunny 0.8466093887899561
Day 64: rain 0.0660553567475581, sunny 0.9339446432524419
Day 65: rain 0.05711628563481211, sunny 0.9428837143651879
Day 66: rain 0.056244308303984546, sunny 0.9437556916960155
Day 67: rain 0.6817358483963213, sunny 0.3182641516036787
Day 68: rain 0.8577748078876852, sunny 0.14222519211231477
Day 69: rain 0.18383863389931787, sunny 0.8161613661006821
Day 70: rain 0.0693626715504703, sunny 0.9306373284495297
Day 71: rain 0.686902096805641, sunny 0.31309790319435904
Day 72: rain 0.8588025385373326, sunny 0.14119746146266743
Day 73: rain 0.8903925213246792, sunny 0.10960747867532084
Day 74: rain 0.19259644469552595, sunny 0.807403555304474
Day 75: rain 0.7314398963374045, sunny 0.26856010366259553
Day 76: rain 0.8674619583307404, sunny 0.13253804166925964
Day 77: rain 0.8918606291956646, sunny 0.10813937080433544
Day 78: rain 0.1930016855860048, sunny 0.8069983144139952
Day 79: rain 0.7315754278373351, sunny 0.2684245721626649
Day 80: rain 0.8674877734263274, sunny 0.13251222657367256
Day 81: rain 0.1863983659271511, sunny 0.8136016340728489
Day 82: rain 0.06964549201845255, sunny 0.9303545079815474
Day 83: rain 0.6870125035453986, sunny 0.31298749645460144
Day 84: rain 0.8588244480679499, sunny 0.14117555193205011
Day 85: rain 0.8903962496516612, sunny 0.1096037503483388
Day 86: rain 0.192597472584697, sunny 0.8074025274153029
Day 87: rain 0.0703335543173295, sunny 0.9296664456826705
Day 88: rain 0.687280937633911, sunny 0.31271906236608904
Day 89: rain 0.14460972958865392, sunny 0.8553902704113461
Day 90: rain 0.0651206281039995, sunny 0.9348793718960005
Day 91: rain 0.6852411992068655, sunny 0.31475880079313445
Day 92: rain 0.8584726721414647, sunny 0.14152732785853528
Day 93: rain 0.18402121958703394, sunny 0.8159787804129661
Day 94: rain 0.7285563146675688, sunny 0.27144368533243124
Day 95: rain 0.8669119575880126, sunny 0.13308804241198735
Day 96: rain 0.186245498798233, sunny 0.8137545012017671
Day 97: rain 0.06962858082455671, sunny 0.9303714191754433
Day 98: rain 0.6870059029406868, sunny 0.31299409705931325
Day 99: rain 0.14455405653343115, sunny 0.8554459434665689
Day 100: rain 0.0651147283669154, sunny 0.9348852716330847
Process finished with exit code 0
